Episode,Reward,Waypoints_Reached,Shape_Complete,Actor_Loss,Critic_Loss
1,-50.000,0,0,,
2,-50.000,0,0,,
3,-50.000,0,0,,
4,-50.000,0,0,,
5,-50.000,0,0,,
6,-50.000,0,0,1.601763,1.912766
7,-50.000,0,0,1.491244,1.597555
8,-49.000,1,0,1.728290,1.454362
9,-32.000,10,1,1.859528,1.133363
10,-31.000,10,1,1.973766,1.069482
11,-27.000,10,1,2.062902,1.326063
12,-41.000,9,0,2.027348,1.178194
13,-42.000,8,0,2.147011,1.100163
14,-43.000,7,0,2.178629,1.039864
15,-43.000,7,0,2.043276,1.152121
16,-32.000,10,1,1.992425,1.269420
17,-33.000,10,1,1.972400,0.974809
18,-40.000,10,1,2.214898,1.142528
19,-42.000,8,0,2.169782,1.129699
20,-31.000,10,1,2.300491,1.329346
21,-34.000,10,1,2.186153,1.126732
22,-27.000,10,1,2.417162,1.219658
23,-38.000,10,1,2.470157,1.269207
24,-31.000,10,1,2.546723,1.595884
25,-20.000,10,1,2.328050,1.259614
26,-41.000,9,0,2.494445,1.372650
27,-19.000,10,1,2.464956,1.423937
28,-28.000,10,1,2.547114,1.160279
29,-41.000,9,0,2.674309,1.010796
30,-32.000,10,1,2.558707,1.204221
31,-37.000,10,1,2.551808,1.307121
32,-26.000,10,1,2.772784,1.227325
33,-25.000,10,1,2.891965,1.545858
34,-37.000,10,1,2.979805,1.309871
35,-26.000,10,1,3.006977,1.045215
36,-26.000,10,1,3.033389,1.334843
37,-20.000,10,1,2.874371,1.274431
38,-14.000,10,1,3.041810,1.655102
39,-28.000,10,1,2.927393,1.918705
40,-24.000,10,1,3.045272,1.632451
41,-25.000,10,1,3.048289,1.667007
42,-13.000,10,1,3.006472,1.452532
43,-26.000,10,1,2.922799,1.601767
44,-28.000,10,1,3.176762,1.305268
45,-17.000,10,1,3.130982,1.647813
46,-24.000,10,1,3.149265,1.539497
47,-17.000,10,1,3.244709,1.636738
48,-16.000,10,1,3.314564,1.384136
49,-23.000,10,1,3.355291,1.585647
50,-17.000,10,1,3.321881,1.403868
