Episode,Reward,Success,MinDistance_cm,Actor_Loss,Critic_Loss
1,-55.180,0,10.491,,
2,-28.525,0,3.572,,
3,-73.531,0,13.593,,
4,-31.372,0,25.365,,
5,-24.588,0,13.422,,
6,-23.234,0,14.551,,
7,-29.358,0,10.640,,
8,-58.967,0,18.654,,
9,-30.177,0,21.696,,
10,-64.256,0,24.225,,
11,-56.632,0,38.683,-9.994347,36.084007
12,-28.387,0,3.903,-13.256828,38.602169
13,-23.862,0,22.562,-13.537261,42.579643
14,-64.079,0,4.795,-13.904646,9.896173
15,-47.942,0,10.472,-14.380822,6.552574
16,-69.104,0,19.573,-14.861221,8.224458
17,-22.723,0,4.852,-15.280642,3.679224
18,-51.797,0,19.659,-15.881659,8.818937
19,-15.929,0,6.689,-16.418066,5.288271
20,-62.829,0,19.784,-16.752716,4.244130
21,-50.000,0,35.073,-17.362064,4.595996
22,-50.000,0,46.419,-17.329231,14.060321
23,-23.941,0,19.004,-17.829048,43.102989
24,-21.265,0,17.389,-18.168926,10.327671
25,-18.999,0,13.059,-18.164799,48.093410
26,-19.497,0,14.221,-18.749037,11.397176
27,-68.866,0,9.560,-18.863592,12.401642
28,-29.971,0,15.143,-19.072186,23.985027
29,-62.244,0,17.100,-19.042030,23.609484
30,-28.902,0,12.329,-18.745565,27.465054
31,-20.569,0,14.106,-19.286644,53.962456
32,-21.236,0,12.589,-19.358381,29.362202
33,-30.791,0,6.191,-19.394775,27.635214
34,-20.687,0,5.319,-19.536394,22.606510
35,-23.067,0,10.761,-19.808601,71.922951
36,-20.347,0,14.624,-19.593109,31.207710
37,-62.999,0,24.248,-19.561716,31.404160
38,-21.830,0,7.828,-19.790621,24.520233
39,-31.768,0,13.257,-19.660242,36.716682
40,-71.324,0,8.321,-19.792831,30.136124
41,-20.317,0,7.332,-19.699553,28.762096
42,-64.137,0,7.343,-19.676554,27.428257
43,-28.712,0,16.702,-19.915453,40.700714
44,-27.239,0,24.798,-19.908606,24.871616
45,-31.836,0,25.867,-19.773623,74.109970
46,-30.501,0,7.286,-19.317287,63.104095
47,-50.282,0,16.809,-19.301071,37.533932
48,-23.702,0,3.785,-19.411997,27.411251
49,-64.152,0,33.612,-19.287285,33.264732
50,-29.718,0,22.269,-19.055817,76.388199
51,-30.578,0,21.589,-19.067062,59.051891
