Episode,Reward,Success,MinDistance_cm,Actor_Loss,Critic_Loss
1,-10.000,0,4.045,,
2,-10.000,0,5.050,,
3,-10.000,0,4.179,,
4,-10.000,0,3.838,,
5,-10.000,0,2.668,,
6,-10.000,0,2.751,,
7,-10.000,0,5.255,,
8,-10.000,0,5.356,,
9,-10.000,0,2.275,,
10,-10.000,0,2.863,,
11,-10.000,0,7.200,-3.451616,19.331053
12,-10.000,0,1.672,-3.404222,15.776094
13,-10.000,0,3.167,-2.905943,12.935098
14,-10.000,0,0.928,-3.268952,10.901081
15,-10.000,0,0.952,-3.288669,11.683234
16,-10.000,0,0.789,-3.587523,9.427613
17,-10.000,0,1.248,-3.879272,7.463231
18,-8.000,1,0.530,-4.224012,6.144380
19,-2.000,1,0.423,-4.697250,5.842108
20,-8.000,1,0.646,-4.816993,5.542676
21,-2.000,1,0.655,-4.929465,5.554547
22,-2.000,1,0.678,-5.251201,5.284391
23,-10.000,0,0.911,-4.951232,4.408238
24,-4.000,1,0.458,-5.218462,4.499689
25,-2.000,1,0.608,-5.191157,4.625260
26,-2.000,1,0.396,-5.232073,4.838482
27,-4.000,1,0.715,-5.570700,5.307926
28,-5.000,1,0.709,-5.630690,4.245604
29,-1.000,1,0.271,-5.807241,3.801672
30,-2.000,1,0.653,-5.362131,4.200586
31,-6.000,1,0.274,-5.447138,3.390771
32,-8.000,1,0.489,-5.710643,3.909999
33,-4.000,1,0.372,-5.838784,3.110940
34,-7.000,1,0.687,-5.817751,4.307540
35,-3.000,1,0.609,-5.462989,3.591447
36,-9.000,1,0.523,-5.743644,3.021544
37,-4.000,1,0.420,-5.652338,3.723038
38,-10.000,0,0.835,-5.752515,4.182938
39,-8.000,1,0.719,-5.341580,3.862614
40,-4.000,1,0.556,-5.267063,3.430079
41,-1.000,1,0.696,-5.856281,3.407245
42,-4.000,1,0.685,-5.810977,4.425370
43,-2.000,1,0.609,-5.905181,4.448065
44,-2.000,1,0.327,-5.364168,3.910739
45,-2.000,1,0.606,-5.699450,3.167713
46,-10.000,0,1.322,-5.723408,2.981994
47,-4.000,1,0.552,-5.603516,3.788991
48,-9.000,1,0.555,-5.872685,3.068832
49,-2.000,1,0.730,-5.566739,3.912039
50,-6.000,1,0.744,-5.272287,4.571093
51,-3.000,1,0.637,-5.409804,3.755695
52,-8.000,1,0.304,-5.481510,4.312147
53,-10.000,0,0.910,-5.687245,3.310627
54,-10.000,0,0.767,-5.220511,3.425633
55,-10.000,0,0.763,-5.992610,3.073285
56,-10.000,0,0.908,-5.274947,4.208117
57,-3.000,1,0.444,-5.049990,3.574476
58,-2.000,1,0.563,-5.228193,3.482249
59,-5.000,1,0.715,-5.261496,3.540081
60,-2.000,1,0.741,-5.637554,4.474922
61,-6.000,1,0.252,-4.981540,4.643384
62,-3.000,1,0.674,-5.436974,3.174318
63,-10.000,0,0.899,-5.223236,3.825958
64,-8.000,1,0.620,-4.769238,4.023638
65,-6.000,1,0.617,-5.401258,3.662894
66,-2.000,1,0.635,-5.303946,3.139885
67,-1.000,1,0.668,-5.178181,3.940947
68,-4.000,1,0.675,-5.327369,3.485432
69,-2.000,1,0.734,-5.118461,3.051349
70,-2.000,1,0.607,-5.271962,4.178228
71,-2.000,1,0.184,-5.202832,3.745940
72,-3.000,1,0.621,-5.430880,3.378250
73,-1.000,1,0.558,-5.603627,3.215936
74,-2.000,1,0.680,-5.364748,4.086535
75,-7.000,1,0.526,-5.284157,4.235603
76,-10.000,0,0.785,-5.498586,2.718067
77,-1.000,1,0.138,-5.050903,3.338539
78,-10.000,0,0.924,-5.150417,3.757244
79,-5.000,1,0.490,-5.697893,3.275035
80,-10.000,0,2.181,-5.929696,1.851251
81,-10.000,0,4.450,-6.212314,2.372203
82,-10.000,0,2.943,-6.140106,1.894907
83,-10.000,0,1.713,-6.317455,2.031770
84,-10.000,0,2.018,-6.633169,1.455120
85,-10.000,0,1.804,-6.449329,1.907277
86,-10.000,0,5.013,-6.783796,2.142320
87,-10.000,0,2.533,-6.881321,1.389917
88,-10.000,0,1.959,-7.014154,2.228792
89,-10.000,0,3.284,-7.075477,2.000217
90,-10.000,0,4.928,-7.073491,1.743748
91,-10.000,0,3.559,-7.016745,1.432703
92,-10.000,0,1.919,-7.189913,2.890735
93,-10.000,0,1.686,-7.184568,2.387159
94,-10.000,0,5.806,-7.350260,2.027133
95,-10.000,0,2.647,-7.329333,2.616280
96,-10.000,0,2.035,-7.462271,1.535478
97,-10.000,0,2.893,-7.385739,1.991563
98,-10.000,0,2.132,-7.661465,1.985145
99,-10.000,0,4.656,-7.735209,1.542468
100,-10.000,0,6.325,-7.782526,2.071661
101,-10.000,0,3.223,-7.879292,2.890019
102,-10.000,0,5.168,-7.900610,2.328735
103,-10.000,0,2.021,-8.076835,1.551197
104,-10.000,0,3.131,-8.280502,1.901858
105,-10.000,0,6.798,-8.225846,2.268394
106,-10.000,0,5.009,-8.280443,1.724308
107,-10.000,0,2.279,-8.545415,2.199672
108,-10.000,0,3.240,-8.478216,2.265154
109,-10.000,0,4.077,-8.501231,1.335909
110,-10.000,0,4.199,-8.659747,2.015434
111,-10.000,0,2.750,-8.917053,1.655123
112,-10.000,0,2.705,-9.005299,1.366819
113,-10.000,0,5.518,-8.489944,2.316316
114,-10.000,0,2.857,-9.046455,1.970071
115,-10.000,0,1.392,-9.018779,2.075506
116,-10.000,0,2.387,-8.910472,2.079729
117,-10.000,0,3.339,-9.150556,1.465876
118,-10.000,0,1.474,-9.217014,1.980377
119,-10.000,0,1.766,-9.323613,1.357715
120,-9.000,1,0.745,-9.077162,1.547052
121,-10.000,0,5.907,-9.494915,1.960196
122,-10.000,0,3.331,-9.276161,2.259291
123,-10.000,0,2.045,-9.723896,1.013117
124,-10.000,0,3.756,-9.837672,2.054163
125,-10.000,0,1.601,-9.566091,1.756266
126,-10.000,0,4.422,-10.044423,2.531328
127,-10.000,0,1.301,-10.173718,2.500320
128,-10.000,0,4.635,-9.774910,1.951655
129,-10.000,0,2.736,-10.082782,3.124375
130,-10.000,0,8.620,-10.248761,1.532154
131,-10.000,0,2.454,-10.380614,1.942187
132,-10.000,0,2.509,-10.040826,1.829569
133,-10.000,0,5.401,-10.049316,1.973311
134,-10.000,0,5.625,-10.158195,2.259942
135,-10.000,0,6.254,-10.276423,1.472616
136,-10.000,0,2.749,-10.993038,1.547101
137,-10.000,0,3.755,-10.294832,2.262186
138,-10.000,0,3.469,-10.168715,2.073046
139,-10.000,0,2.460,-10.430048,2.641804
140,-10.000,0,3.826,-10.808042,1.485049
141,-10.000,0,4.995,-10.785516,1.474152
142,-10.000,0,1.970,-10.698128,2.485788
143,-10.000,0,2.933,-10.504311,3.017225
144,-10.000,0,0.864,-10.903705,1.701448
145,-10.000,0,3.156,-10.985977,1.850512
146,-10.000,0,2.680,-10.981137,2.407201
147,-10.000,0,3.832,-11.000090,1.682522
148,-10.000,0,4.364,-10.776584,2.186120
149,-10.000,0,4.615,-11.377335,1.619336
150,-10.000,0,3.158,-11.254155,2.604763
151,-10.000,0,2.883,-10.808678,2.791147
152,-10.000,0,3.074,-10.842185,2.637531
153,-10.000,0,3.572,-10.731584,1.881779
154,-10.000,0,4.251,-10.742590,1.916136
155,-10.000,0,1.137,-11.935381,2.126179
156,-10.000,0,4.049,-11.326750,2.019593
157,-10.000,0,3.965,-11.107428,2.526281
158,-10.000,0,2.917,-11.422083,1.863542
159,-10.000,0,3.546,-11.186573,1.694708
160,-10.000,0,4.257,-11.392521,2.842890
161,-10.000,0,2.409,-11.574818,2.941000
162,-10.000,0,4.172,-11.632386,2.443568
163,-10.000,0,3.327,-11.688936,2.604546
164,-10.000,0,7.144,-11.378002,2.572645
165,-10.000,0,1.517,-11.672471,2.121364
166,-10.000,0,3.763,-12.346966,2.212702
167,-10.000,0,3.482,-12.002901,2.603428
168,-10.000,0,3.717,-11.070860,2.482558
169,-10.000,0,2.082,-11.965620,2.193301
170,-10.000,0,1.969,-11.679856,1.500241
171,-10.000,0,2.637,-12.453264,2.735510
172,-10.000,0,4.890,-12.236573,1.954974
173,-10.000,0,4.455,-11.958305,2.282272
174,-10.000,0,1.667,-11.962472,1.847357
175,-10.000,0,3.117,-12.482490,1.933254
176,-10.000,0,5.350,-11.834476,1.820215
177,-10.000,0,3.486,-12.331368,1.881795
178,-10.000,0,1.325,-11.588928,2.225081
179,-10.000,0,3.664,-12.318789,2.348804
180,-10.000,0,4.173,-11.935384,2.695646
181,-10.000,0,3.740,-12.393138,2.021695
182,-10.000,0,0.904,-11.590607,2.986718
183,-10.000,0,4.199,-12.654025,2.104724
184,-10.000,0,2.071,-12.303517,1.591460
185,-10.000,0,3.146,-12.915087,1.908871
186,-10.000,0,3.857,-12.376019,2.698725
187,-10.000,0,2.616,-12.569632,2.250869
188,-10.000,0,5.868,-12.770159,2.078893
189,-10.000,0,5.486,-12.762763,2.866056
190,-10.000,0,3.446,-12.371679,3.066231
191,-10.000,0,4.772,-12.372141,2.611870
192,-10.000,0,5.813,-12.727247,2.350779
193,-10.000,0,3.327,-12.542808,2.723453
194,-10.000,0,4.386,-12.504483,2.600374
195,-10.000,0,4.047,-13.263144,1.855157
196,-10.000,0,1.858,-12.771074,2.386904
197,-10.000,0,3.381,-12.440684,2.706121
198,-10.000,0,4.054,-13.151114,2.481563
199,-10.000,0,3.265,-12.935567,3.764691
200,-10.000,0,3.217,-12.769257,2.518595
